symbol,name,address,assetType,decimals,status,trustLevel,canonical,beacon,implementation,multiplier,pendingMultiplier,multiplierEffectiveAt,tokenPaused,oraclePaused,totalSupplyRaw,feedAddress,feedPrice,feedUpdatedAt,feedStale,bid,ask,tradingHalt,priceDivergencePct,dexVenue,dexPriceUsd,dexPremiumPct,blockscoutHolders,blockscoutTransfers,supplyAgreement,firstSeenAt,verifiedAt,stateCheckedAt,logoUrl
AAOI,Applied Optoelectronics • Robinhood Token,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,665035000000000000000,,,,,,,,,uniswap_v4,101.13451894129766,,143,3607,agree,2026-09-02T14:53:22.412Z,2026-09-06T06:20:45.042Z,2026-09-06T06:25:32.473Z,
AAPL,Apple • Robinhood Token,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1.0005660800610925,1.0005660800610925,2026-08-14T15:12:46.000Z,false,false,17631423122920000000000,0x6b22a786baa607d76728168703a39ea9c99f2cd0,320.51633525,2026-09-04T19:51:26.000Z,true,,,,3.3172,uniswap_v4,322.02751960066814,0.4715,64726,8674243,agree,2026-09-02T14:53:22.429Z,2026-09-06T06:20:46.577Z,2026-09-06T06:25:32.468Z,
ABCL,Abcellera Biologics • Robinhood Token,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,2642712000000000000000,,,,,,,,,uniswap_v4,12.071266294129302,,49,160,agree,2026-09-02T14:53:22.435Z,2026-09-06T06:20:47.124Z,2026-09-06T06:25:32.506Z,
ADBE,Adobe • Robinhood Token,0x232b8ed6377be97813853b0ac104c4cda8378d1b,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,591281000000000000000,,,,,,,,,uniswap_v4,267.1766014562098,,182,1155,agree,2026-09-02T14:53:22.439Z,2026-09-06T06:20:47.547Z,2026-09-06T06:25:32.739Z,
AEHR,Aehr • Robinhood Token,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,156148000000000000000,,,,,,,,,uniswap_v4,139.98784120455895,,29,162,agree,2026-09-02T14:53:22.320Z,2026-09-06T06:20:42.109Z,2026-09-06T06:25:32.449Z,
AEIS,Advanced Energy • Robinhood Token,0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,104674000000000000000,,,,,,,,,uniswap_v4,274.2457207388586,,44,179,agree,2026-09-02T14:53:22.414Z,2026-09-06T06:20:45.163Z,2026-09-06T06:25:32.491Z,
ALAB,"Astera Labs, Inc. • Robinhood Token",0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,142970000000000000000,,,,,,,,,uniswap_v4,322.98296199200627,,54,354,agree,2026-09-02T14:53:22.366Z,2026-09-06T06:20:43.751Z,2026-09-06T06:25:32.633Z,
AMAT,Applied Materials • Robinhood Token,0x36046893810a7e7fce501229d57dc3fc8c8716d0,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,180025000000000000000,,,,,,,,,uniswap_v4,527.5902664635533,,2471,15507,agree,2026-09-02T14:53:22.415Z,2026-09-06T06:20:45.542Z,2026-09-06T06:25:32.514Z,
AMBA,Ambarella • Robinhood Token,0x99d9d8663545151603863c5acbd6fc3218899009,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,490651000000000000000,,,,,,,,,uniswap_v4,68.42587960549693,,66,226,agree,2026-09-02T14:53:22.391Z,2026-09-06T06:20:44.379Z,2026-09-06T06:25:32.599Z,
AMC,AMC Entertainment • Robinhood Token,0x05a3d1cd21d0c88145e82600e62e7e496e0f222b,stock_token,18,active,confirmed,true,0xe10b6f6b275de231345c20d14ab812db62151b00,0xb35490d6f9163de4f80d88dc75c3516eb64c5ae2,1,1,,false,false,2895757579000000000000000,,,,,,,,,uniswap_v4,2.5693743707669907,,8089,115399,agree,2026-09-02T14:53:22.430Z,2026-09-06T06:20:46.594Z,2026-09-06T06:25:32.737Z,
